nombre,x_nodo,y_nodo,x_texto,y_texto,distancia_a_linea
"Ciudad Azteca",2696,144,2618,132,9.4
"Plaza Aragon",2690,239,2618,228,9.4
"Olimpica",2666,325,2618,318,9.4
"Ecatepec",2666,427,2618,420,9.4
"M. Muzquiz",2678,519,2618,510,9.4
"Rio de losRemedios",2726,599,2618,582,9.4
"Impulsora",2672,710,2618,702,9.4
"Nezahualcoyotl",2702,805,2618,792,9.4
"Villa de Aragon",2708,896,2618,882,9.4
"Bosque de Aragon",2714,993,2618,978,9.4
"Deportivo Oceania",2679,1096,2577,1080,9.4
"R. Rubio",2434,1267,2386,1260,9.4
"R. Flores Magon",2324,1350,2234,1336,9.4
"Tepito",1822,1129,1786,1124,9.4
"Lagunilla",1604,1042,1550,1034,9.4
"Buenavista",858,1056,798,1047,9.4
"R. Rubio",2434,1267,2386,1260,9.4
"Indios Verdes",1565,348,1487,336,9.4
"Potrero",1476,695,1434,689,9.4
"Tlatelolco",1038,846,978,837,9.4
"Juarez",1207,1377,1171,1372,9.4
"NiñosHeroes",1229,1646,1163,1636,9.4
"HospitalGeneral",1253,1764,1163,1750,9.4
"Etiopia",995,2074,953,2068,9.4
"Eugenia",1205,2182,1163,2176,9.4
"Divisiondel Norte",1265,2276,1163,2260,9.4
"Zapata",1127,2422,1163,2422,15.0
"Coyoacan",1211,2495,1163,2488,9.4
"Viveros",1205,2596,1163,2590,9.4
"M. A. De Quevedo",829,2707,733,2692,9.4
"Copilco",1205,2806,1163,2800,9.4
"Universidad",1229,2918,1163,2908,9.4
"Politecnico",1099,391,1033,381,9.4
"Misterios",1478,830,1424,822,9.4
"ValleGomez",1764,795,1704,786,9.4
"EduardoMolina",2368,892,2290,880,9.4
"Aragon",2402,1013,2366,1008,9.4
"TerminalAerea",2743,1410,2665,1398,9.4
"Hangares",2713,1627,2665,1620,9.4
"AgricolaOriental",2865,1953,2769,1938,9.4
"Canal deSan Juan",2865,2067,2769,2052,9.4
"Tepalcates",2829,2187,2769,2178,9.4
"Guelatao",2817,2287,2769,2280,9.4
"Peñon Viejo",2835,2398,2769,2388,9.4
"Acatitla",2817,2503,2769,2496,9.4
"Santa Marta",2779,2628,2775,2598,9.4
"Los Reyes",2871,2696,2817,2688,9.4
"La Paz",2937,2789,2901,2784,9.4
"Puebla",2434,1906,2398,1901,9.4
"CiudadDeportiva",2555,2025,2465,2011,9.4
"Velodromo",2234,2076,2180,2068,9.4
"Mixiuhca",2146,1929,2098,1922,9.4
"LazaroCardenas",1508,2016,1424,2003,9.4
"Chilpancingo",893,1926,821,1915,9.4
"Patriotismo",653,2024,587,2014,9.4
"Observatorio",126,2141,54,2130,9.4
"Juanacatlan",674,1864,608,1854,9.4
"Chapultepec",767,1775,701,1765,9.4
"Sevilla",797,1702,793,1672,9.4
"Insurgentes",635,1556,569,1546,9.4
"Cuauhtemoc",838,1496,778,1487,9.4
"Isabella Catolica",1636,1478,1534,1462,9.4
"Merced",1824,1569,1820,1539,9.4
"Moctezuma",2005,1476,2001,1446,9.4
"Balbuena",2177,1537,2129,1530,9.4
"Blvd. Pto.Aereo",2242,1629,2152,1615,9.4
"Gomez Farias",2170,1788,2098,1777,9.4
"Zaragoza",2309,1849,2261,1842,9.4
"Talisman",2104,671,2056,664,9.4
"Bondojito",2110,750,2056,742,9.4
"Canal delNorte",2140,1031,2056,1018,9.4
"FrayServando",1931,1664,2003,1664,10.0
"Tasqueña",1505,2833,1457,2826,9.4
"General Anaya",1436,2738,1358,2726,9.4
"Ermita",1716,2638,1718,2608,19.4
"Portales",1766,2531,1718,2524,9.4
"Nativitas",1772,2424,1718,2416,9.4
"Villa deCortes",1802,2303,1718,2290,9.4
"Xola",1682,2215,1658,2212,9.4
"Viaducta",1706,2112,1658,2105,9.4
"San AntonioAbad",1931,1799,1841,1785,9.4
"Zocalo",1739,1378,1703,1373,9.4
"Allende",1428,1287,1424,1257,9.4
"Revolucion",917,1136,857,1127,9.4
"Normal",732,1358,696,1353,9.4
"SanCosme",835,1258,831,1228,9.4
"Popotla",669,1099,627,1093,9.4
"ColegioMilitar",620,1242,536,1229,9.4
"Cuitlahuac",591,1019,531,1010,9.4
"Panteones",251,950,197,942,9.4
"CuatroCaminos",182,1039,104,1027,9.4
"Constitucionde 1917",2841,2863,2727,2845,9.4
"C de laEstrella",2435,2890,2345,2876,9.4
"UAM  I",2475,2883,2439,2878,9.4
"Atlalilco",2095,2778,2041,2788,15.0
"Iztapalapa",2386,2725,2326,2716,9.4
"Escuadron 201",2290,2664,2212,2652,9.4
"Aculco",2248,2564,2212,2559,9.4
"Apatlaco",2260,2464,2212,2457,9.4
"Iztacalco",2266,2354,2212,2346,9.4
"Coyuya",2248,2249,2212,2244,9.4
"La Viga",1854,2056,1812,2050,9.4
"Obrera",1546,1764,1510,1759,9.4
"Doctores",1472,1664,1424,1657,9.4
"San Juande Letran",1400,1372,1396,1342,9.4
"AquilesSerdan",426,592,430,562,9.8
"Camarones",426,736,430,706,9.8
"San Joaquin",426,1234,430,1204,9.8
"Polanco",426,1424,430,1394,9.8
"Auditorio",426,1622,430,1592,9.8
"Constituyentes",426,1808,430,1778,9.8
"San Pedrode los Pinos",490,2142,486,2112,9.4
"San Antonio",190,2271,186,2241,9.4
"Mixcoac",295,2388,253,2383,93.9
"Barrancadel Muerto",594,2541,486,2524,9.4
"Tezozomoc",588,486,534,478,9.4
"Ferreria",647,559,643,529,9.4
"Azcapotzalco",553,712,549,682,9.4
"Norte 45",756,660,752,630,9.4
"Vallejo",961,537,919,531,9.4
"Lindavista",1249,541,1189,532,9.4
"La Villa -Basilica",1640,657,1636,627,9.4
"El Rosario",382,405,442,405,15.0
"Instituto delPetroleo",1195,395,1195,425,30.0
"Deportivo18 de Marzo",1464,499,1470,469,10.0
"Martin Carrera",2061,554,2057,584,50.1
"Consulado",2050,855,2052,825,59.4
"Guerrero",1152,1072,1158,1042,10.0
"Garibaldi",1343,1126,1397,1126,10.0
"Hidalgo",953,1202,953,1232,35.0
"BellasArtes",1425,1242,1359,1232,9.4
"Balderas",913,1464,911,1434,34.5
"Salto delAgua",1438,1470,1360,1458,9.4
"Tacubaya",214,1984,213,1954,53.9
"CentroMedico",1089,1871,1161,1871,10.0
"Santa Anita",1791,2149,1786,2179,64.7
"Pantitlan",2612,1816,2666,1820,20.4
"Oceania",2465,1149,2507,1149,30.0
"SanLazaro",2122,1140,2122,1170,85.0
"Morelos",1821,1158,1817,1188,44.8
"Candelaria",1688,1287,1748,1279,60.0
"La Raza",1328,762,1370,761,25.2
"Autobusesdel Norte",954,700,950,670,9.4
"Chabacano",1652,1924,1706,1924,10.0
"Jamaica",2056,1978,2056,2008,35.0
"PinoSuarez",1658,1607,1718,1607,25.0
"InsurgentesSur",721,2287,637,2274,9.4
"Hospital 20de Noviembre",911,2451,773,2430,9.4
"Parque delos Venados",1505,2284,1385,2265,9.4
"EjeCentral",1575,2519,1515,2510,9.4
"Mexicaltzingo",1932,2705,1854,2693,9.4
"Tlahuac",2538,3712,2496,3706,9.4
"Culhuacan",2037,2864,1983,2856,9.4
"San AndresTomatlan",1966,2967,1962,2937,9.4
"Lomas Estrella",1983,3081,1899,3068,9.4
"Calle 11",2086,3184,2038,3177,9.4
"Periferico Oriente",1999,3297,1891,3280,9.4
"Tezonco",2184,3357,2142,3351,9.4
"Olivos",2294,3427,2258,3422,9.4
"Nopalera",2317,3496,2269,3489,9.4
"Zapotitlan",2384,3569,2324,3560,9.4
"Tlaltenco",2461,3643,2407,3635,9.4
